"","Region","Scenario","Functional Group","Effect Size","Lower CI","Upper CI"
"59","France","SSP5-8.5","End. Omnivores",-1.51308569910253,-1.64287125483552,-1.38118165712207
"60","France","SSP5-8.5","Ect. Herbivores",-3.15415868859772,-3.83273101040829,-2.45909053242228
"61","France","SSP5-8.5","Ect. Carnivores",-1.1841690528259,-1.6379747403451,-0.716801095957642
"62","France","SSP5-8.5","Ect. Omnivores",-1.39531214046849,-1.88990007493886,-0.902913517954385
"63","France","SSP5-8.5","Overall Biomass",-0.960070806559121,-1.0079965264936,-0.911894451142958
"64","Finland","Historical","End. Herbivores",-0.0464443446352769,-0.311450229490429,0.220169940900439
"65","Finland","Historical","End. Carnivores",-0.117334010106085,-0.530674864012615,0.312402060207195
"66","Finland","Historical","End. Omnivores",-0.25678760579485,-0.486514114745318,-0.0289161892274903
"67","Finland","Historical","Ect. Herbivores",-1.59061341804609,-2.13297446306498,-1.03635639419604
"68","Finland","Historical","Ect. Carnivores",-0.73927561477809,-1.40659381392515,-0.0824192670075719
"69","Finland","Historical","Ect. Omnivores",-1.05302219851934,-1.60251270525745,-0.495639664698899
"70","Finland","Historical","Overall Biomass",-0.192620273591371,-0.351397566735856,-0.0368341330134081
"71","Finland","SSP1-2.6","End. Herbivores",0.0858768011462674,-0.158471911072311,0.325657953667768
"72","Finland","SSP1-2.6","End. Carnivores",0.257882406263299,-0.142305145419175,0.657104440398215
"73","Finland","SSP1-2.6","End. Omnivores",-0.0695110882364625,-0.290173559467977,0.152895277549825
"74","Finland","SSP1-2.6","Ect. Herbivores",-0.889489687822342,-1.4796483992169,-0.287205009312919
"75","Finland","SSP1-2.6","Ect. Carnivores",-0.635316799189478,-1.30913191131625,0.0514853739555399
"76","Finland","SSP1-2.6","Ect. Omnivores",-0.865734344036262,-1.42921906629239,-0.275716519145486
"77","Finland","SSP1-2.6","Overall Biomass",0.0144499616012261,-0.130984700958192,0.162047144346289
"78","Finland","SSP5-8.5","End. Herbivores",0.576491263983625,0.338270195673074,0.814391042832074
"79","Finland","SSP5-8.5","End. Carnivores",0.586648157724423,0.186808911707614,0.977117691031126
"80","Finland","SSP5-8.5","End. Omnivores",0.30631251813853,0.0818389271628472,0.537450650080173
"81","Finland","SSP5-8.5","Ect. Herbivores",-2.44084365328965,-3.00507906209678,-1.87375721482799
"82","Finland","SSP5-8.5","Ect. Carnivores",-0.397339230736393,-1.0334576055119,0.250722102701828
"83","Finland","SSP5-8.5","Ect. Omnivores",-1.62430736260679,-2.17068585422117,-1.05627839218593
"84","Finland","SSP5-8.5","Overall Biomass",0.340282464890285,0.181734772311204,0.496961581130884
